192,198,95
155,93,93
146,92,156
72,68,160
132,180,187
114,152,86
71,64,50
113,93,77
158,141,121
141,118,95
172,154,138
165,147,133
56,55,55
68,64,70
102,102,101
125,124,121
165,164,164
203,202,204
48,49,50
41,42,44
35,33,40
233,239,239
245,248,250
232,230,224
